geom
"LINESTRING(-174.111328 52.229095,-174.097177 52.227983,-174.086051 52.224625,-174.079388 52.224362,-174.074131 52.226005,-174.067297 52.225828)"
"LINESTRING(-167.431641 65.414785,-167.465715 65.419762,-167.519531 65.433736)"
"LINESTRING(-167.080078 65.391042,-167.065187 65.388262,-166.992187 65.389796)"
"LINESTRING(-166.992187 65.379714,-167.040467 65.387596,-167.063835 65.387171,-167.080078 65.388226)"
"LINESTRING(-166.552734 53.851468,-166.552032 53.852527)"
"LINESTRING(-166.521084 53.835183,-166.522704 53.832644,-166.524099 53.832264,-166.529614 53.833302,-166.544849 53.833353,-166.552734 53.834679)"
"LINESTRING(-166.496913 53.851677,-166.49572 53.851297)"
"LINESTRING(-166.492324 53.850963,-166.491038 53.851264)"
"LINESTRING(-166.490153 53.851356,-166.488222 53.851166)"
"LINESTRING(-166.48205 53.849768,-166.475261 53.848229)"
"LINESTRING(-166.484629 53.850352,-166.483405 53.850075)"
"LINESTRING(-166.488222 53.851166,-166.485211 53.850484)"
"LINESTRING(-166.475261 53.848229,-166.472021 53.848052,-166.47141 53.848514,-166.471792 53.849517)"
"LINESTRING(-166.471883 53.849867,-166.468534 53.850172,-166.467687 53.851096,-166.464844 53.850651)"
"LINESTRING(-166.348362 64.625243,-166.360881 64.62916,-166.363754 64.630879)"
"LINESTRING(-174.203602 52.214339,-174.204153 52.217605)"
"LINESTRING(-174.20435 52.218821,-174.204444 52.221648,-174.20292 52.22613,-174.20365 52.231926,-174.202809 52.23233)"
"LINESTRING(-174.202513 52.232472,-174.199219 52.231087)"
"LINESTRING(-174.204444 52.221648,-174.205914 52.222009)"
"LINESTRING(-174.204862 52.221668,-174.206074 52.221221)"
"LINESTRING(-174.236426 52.243996,-174.232296 52.244423,-174.229184 52.243845)"
"LINESTRING(-174.227477 52.243061,-174.226706 52.242708)"
"LINESTRING(-174.228914 52.243721,-174.227986 52.243295)"
"LINESTRING(-174.226706 52.242708,-174.219582 52.238766)"
"LINESTRING(-174.216725 52.236845,-174.216181 52.23648)"
"LINESTRING(-174.219582 52.238766,-174.216836 52.23692)"
"LINESTRING(-174.216181 52.23648,-174.214893 52.235173)"
"LINESTRING(-174.2142 52.234553,-174.207383 52.231821,-174.204197 52.229593,-174.203049 52.229823)"
"LINESTRING(-174.228058 52.259831,-174.229281 52.25218,-174.231566 52.244383)"
"LINESTRING(-168.1084 65.622061,-168.115282 65.634357,-168.117685 65.640611,-168.117996 65.646894,-168.113418 65.658275)"
"LINESTRING(-167.519531 65.645603,-167.520711 65.646044)"
"LINESTRING(-166.289062 65.402056,-166.287468 65.403445)"
"LINESTRING(-166.178442 65.549367,-166.179242 65.550321,-166.175015 65.556813,-166.176635 65.562468,-166.188265 65.565783,-166.201172 65.567273)"
"LINESTRING(-176.639374 51.830023,-176.652163 51.828803,-176.656614 51.827318)"
"LINESTRING(-176.626527 51.835582,-176.628356 51.834531)"
"LINESTRING(-176.628356 51.834531,-176.629623 51.831921)"
"LINESTRING(-176.630907 51.831075,-176.632819 51.830135)"
"LINESTRING(-176.633487 51.829449,-176.634744 51.828159)"
